sample_id,catalyst_name,dye_name,bandgap_ev,surface_area_m2g,catalyst_dosage_gl,initial_dye_conc_mgl,ph,light_intensity_mwcm2,reaction_time_min,temperature_c,dye_molecular_weight,degradation_efficiency_percent
PCD-2021-0208,fe_cu_codoped_tio2,24_dichlorophenol,2.222,123.43,0.312,22.2,7.56,68.66,120,28.4,163.0,100.0
PCD-2022-0209,degussa_p25_tio2,ibuprofen,3.193,40.25,0.593,21.41,9.2,56.32,120,24.7,206.28,97.02
PCD-2023-0210,pure_anatase_tio2,malachite_green,3.229,40.94,2.811,19.33,7.78,32.59,120,26.0,364.91,100.0
PCD-2018-0211,pure_rutile_tio2,methylene_blue,3.044,10.0,0.364,23.67,10.68,44.41,240,23.3,319.85,91.58
PCD-2019-0212,n_doped_tio2,rhodamine_b,2.676,72.45,0.831,11.14,6.29,69.86,120,24.5,479.02,99.49
PCD-2020-0213,c_doped_tio2,methyl_orange,2.504,81.62,0.153,23.48,9.33,56.63,15,28.2,327.33,46.46
PCD-2021-0214,s_doped_tio2,ciprofloxacin,2.695,45.13,0.25,15.31,6.84,65.86,15,20.0,331.34,62.74
PCD-2022-0215,fe_doped_tio2,tetracycline,2.402,80.3,0.488,41.71,6.65,53.08,180,27.8,444.43,100.0
PCD-2023-0216,cu_doped_tio2,bisphenol_a,2.339,93.07,0.318,22.06,2.0,11.67,90,20.0,228.29,80.92
PCD-2018-0217,rutile_n_doped_tio2,phenol,2.525,32.6,0.286,17.95,7.01,77.11,15,22.1,94.11,68.94
PCD-2019-0218,rutile_fe_doped_tio2,24_dichlorophenol,2.333,24.19,1.464,28.54,9.08,52.16,180,24.9,163.0,100.0
PCD-2020-0219,n_fe_codoped_tio2,ibuprofen,2.18,103.47,0.501,5.0,3.83,56.68,60,27.5,206.28,96.4
PCD-2021-0220,n_c_codoped_tio2,malachite_green,2.351,101.88,0.102,24.2,8.62,63.38,15,33.1,364.91,59.5
PCD-2022-0221,fe_cu_codoped_tio2,methylene_blue,2.137,111.09,0.587,11.12,6.39,88.03,15,22.5,319.85,94.05
PCD-2023-0222,degussa_p25_tio2,rhodamine_b,3.155,44.74,0.931,35.06,8.62,57.63,90,26.0,479.02,99.73
PCD-2018-0223,pure_anatase_tio2,methyl_orange,3.249,51.37,0.203,8.56,7.22,49.17,45,24.0,327.33,66.58
PCD-2019-0224,pure_rutile_tio2,ciprofloxacin,2.995,22.98,1.42,18.04,6.65,12.87,240,29.8,331.34,100.0
PCD-2020-0225,n_doped_tio2,tetracycline,2.618,82.75,0.994,10.56,4.81,43.36,30,32.2,444.43,92.53
PCD-2021-0226,c_doped_tio2,bisphenol_a,2.392,84.96,0.183,24.57,6.46,48.13,60,20.1,228.29,100.0
PCD-2022-0227,s_doped_tio2,phenol,2.687,42.86,0.223,16.92,8.56,82.76,45,32.0,94.11,96.8
PCD-2023-0228,fe_doped_tio2,24_dichlorophenol,2.425,71.34,1.603,22.08,9.44,52.78,240,24.9,163.0,100.0
PCD-2018-0229,cu_doped_tio2,ibuprofen,2.31,89.24,0.632,20.05,6.05,47.45,45,27.0,206.28,94.36
PCD-2019-0230,rutile_n_doped_tio2,malachite_green,2.527,16.62,0.635,15.56,7.09,48.73,90,24.5,364.91,100.0
PCD-2020-0231,rutile_fe_doped_tio2,methylene_blue,2.412,39.04,1.502,18.93,7.9,10.73,60,20.0,319.85,91.87
PCD-2021-0232,n_fe_codoped_tio2,rhodamine_b,2.22,97.32,0.327,21.23,6.13,75.5,30,21.1,479.02,97.02
PCD-2022-0233,n_c_codoped_tio2,methyl_orange,2.292,90.28,0.352,20.61,7.99,74.04,240,20.0,327.33,98.43
PCD-2023-0234,fe_cu_codoped_tio2,ciprofloxacin,2.178,127.1,0.386,28.55,9.13,34.14,45,22.8,331.34,93.25
PCD-2018-0235,degussa_p25_tio2,tetracycline,3.198,44.32,0.727,22.54,7.94,77.14,90,25.5,444.43,100.0
PCD-2019-0236,pure_anatase_tio2,bisphenol_a,3.311,46.61,0.603,16.05,7.04,66.34,60,30.6,228.29,93.71
PCD-2020-0237,pure_rutile_tio2,phenol,2.911,27.62,0.369,26.4,5.55,56.01,15,20.0,94.11,43.09
PCD-2021-0238,n_doped_tio2,24_dichlorophenol,2.608,63.93,0.569,29.55,10.04,92.38,180,30.8,163.0,99.39
PCD-2022-0239,c_doped_tio2,ibuprofen,2.493,80.04,0.671,26.56,7.39,49.53,90,23.1,206.28,100.0
PCD-2023-0240,s_doped_tio2,malachite_green,2.723,65.85,0.424,24.9,7.42,93.15,120,29.8,364.91,100.0
PCD-2018-0241,fe_doped_tio2,methylene_blue,2.486,85.16,1.179,24.21,5.81,67.43,180,30.9,319.85,100.0
PCD-2019-0242,cu_doped_tio2,rhodamine_b,2.384,82.77,1.127,11.27,8.92,21.81,180,24.0,479.02,98.35
PCD-2020-0243,rutile_n_doped_tio2,methyl_orange,2.605,23.65,2.46,5.0,7.43,50.03,30,20.9,327.33,98.88
PCD-2021-0244,rutile_fe_doped_tio2,ciprofloxacin,2.319,34.47,0.979,12.44,7.85,41.52,45,29.1,331.34,98.95
PCD-2022-0245,n_fe_codoped_tio2,tetracycline,2.187,89.96,0.305,20.79,7.05,8.68,15,31.0,444.43,32.63
PCD-2023-0246,n_c_codoped_tio2,bisphenol_a,2.329,101.78,0.584,24.06,7.44,82.23,60,20.0,228.29,100.0
PCD-2018-0247,fe_cu_codoped_tio2,phenol,2.192,125.59,1.404,30.6,12.0,59.81,30,22.5,94.11,95.98
PCD-2019-0248,degussa_p25_tio2,24_dichlorophenol,3.184,40.36,0.512,29.36,8.41,73.26,120,23.4,163.0,99.36
PCD-2020-0249,pure_anatase_tio2,ibuprofen,3.271,36.33,0.404,17.27,5.44,68.22,60,22.6,206.28,87.9
PCD-2021-0250,pure_rutile_tio2,malachite_green,3.008,13.88,0.479,26.41,7.37,61.51,15,24.7,364.91,44.68
PCD-2022-0251,n_doped_tio2,methylene_blue,2.728,51.72,1.074,29.65,9.47,52.22,120,26.0,319.85,99.42
PCD-2023-0252,c_doped_tio2,rhodamine_b,2.413,69.96,0.489,10.3,6.85,77.79,240,22.2,479.02,96.34
PCD-2018-0253,s_doped_tio2,methyl_orange,2.675,53.52,1.267,32.35,6.36,40.08,15,27.4,327.33,69.27
PCD-2019-0254,fe_doped_tio2,ciprofloxacin,2.481,91.49,1.222,25.73,6.8,39.15,240,31.4,331.34,100.0
PCD-2020-0255,cu_doped_tio2,tetracycline,2.404,71.31,0.502,10.99,8.28,41.78,45,28.0,444.43,100.0
PCD-2021-0256,rutile_n_doped_tio2,bisphenol_a,2.626,27.3,0.184,34.8,4.84,69.71,120,23.9,228.29,95.03
PCD-2022-0257,rutile_fe_doped_tio2,phenol,2.272,28.09,0.706,19.23,7.03,63.45,60,24.8,94.11,100.0
PCD-2023-0258,n_fe_codoped_tio2,24_dichlorophenol,2.172,93.04,0.299,16.71,5.47,53.39,180,23.8,163.0,100.0
PCD-2018-0259,n_c_codoped_tio2,ibuprofen,2.349,87.58,0.684,7.61,4.06,54.12,180,25.3,206.28,100.0
PCD-2019-0260,fe_cu_codoped_tio2,malachite_green,2.247,123.71,0.375,31.53,6.06,40.06,240,24.5,364.91,95.07
PCD-2020-0261,degussa_p25_tio2,methylene_blue,3.191,66.61,0.148,25.37,7.1,44.86,45,21.7,319.85,59.47
PCD-2021-0262,pure_anatase_tio2,rhodamine_b,3.302,33.63,3.299,10.61,8.81,51.52,180,20.0,479.02,100.0
PCD-2022-0263,pure_rutile_tio2,methyl_orange,3.032,12.63,0.375,29.87,6.85,42.0,15,25.8,327.33,25.52
PCD-2023-0264,n_doped_tio2,ciprofloxacin,2.689,48.11,1.245,12.81,7.91,46.3,120,24.0,331.34,98.93
PCD-2018-0265,c_doped_tio2,tetracycline,2.491,83.73,0.733,14.36,6.83,44.98,60,20.0,444.43,100.0
PCD-2019-0266,s_doped_tio2,bisphenol_a,2.734,31.24,0.961,25.98,7.57,29.53,60,25.2,228.29,94.22
PCD-2020-0267,fe_doped_tio2,phenol,2.429,63.83,0.82,21.9,5.68,60.65,180,25.1,94.11,100.0
PCD-2021-0268,cu_doped_tio2,24_dichlorophenol,2.334,77.71,0.311,30.48,9.97,44.49,60,32.4,163.0,97.58
PCD-2022-0269,rutile_n_doped_tio2,ibuprofen,2.584,24.99,0.107,26.18,6.59,65.72,240,20.0,206.28,98.49
PCD-2023-0270,rutile_fe_doped_tio2,malachite_green,2.423,43.88,0.334,20.66,5.89,13.58,60,21.0,364.91,76.29
PCD-2018-0271,n_fe_codoped_tio2,methylene_blue,2.162,94.34,2.116,13.51,9.64,85.49,45,22.0,319.85,99.75
PCD-2019-0272,n_c_codoped_tio2,rhodamine_b,2.266,102.83,4.008,5.6,9.49,5.0,30,20.0,479.02,86.9
PCD-2020-0273,fe_cu_codoped_tio2,methyl_orange,2.151,110.46,0.3,22.14,6.62,11.49,45,34.9,327.33,75.8
PCD-2021-0274,degussa_p25_tio2,ciprofloxacin,3.162,48.18,0.55,21.73,9.84,36.63,180,23.2,331.34,88.05
PCD-2022-0275,pure_anatase_tio2,tetracycline,3.25,31.74,0.265,28.87,6.16,5.0,240,26.0,444.43,52.68
PCD-2023-0276,pure_rutile_tio2,bisphenol_a,3.037,25.59,0.68,15.2,5.79,48.78,60,22.5,228.29,90.89
PCD-2018-0277,n_doped_tio2,phenol,2.667,60.13,0.1,26.9,2.0,31.71,90,20.0,94.11,71.47
PCD-2019-0278,c_doped_tio2,24_dichlorophenol,2.492,81.07,0.919,10.93,9.97,37.97,30,20.0,163.0,90.41
PCD-2020-0279,s_doped_tio2,ibuprofen,2.743,60.8,0.26,27.83,6.5,35.06,90,32.1,206.28,93.24
PCD-2021-0280,fe_doped_tio2,malachite_green,2.398,94.97,0.117,14.95,7.27,6.27,15,28.3,364.91,11.22
PCD-2022-0281,cu_doped_tio2,methylene_blue,2.403,75.02,1.238,20.33,5.09,5.0,15,25.8,319.85,25.04
PCD-2023-0282,rutile_n_doped_tio2,rhodamine_b,2.591,22.26,0.207,22.2,6.16,73.56,30,22.3,479.02,77.59
PCD-2018-0283,rutile_fe_doped_tio2,methyl_orange,2.335,17.78,3.173,24.4,8.56,61.44,180,33.4,327.33,94.36
PCD-2019-0284,n_fe_codoped_tio2,ciprofloxacin,2.225,122.91,0.492,5.0,6.2,57.5,120,20.0,331.34,98.93
PCD-2020-0285,n_c_codoped_tio2,tetracycline,2.345,100.75,0.732,38.19,7.08,44.05,240,26.3,444.43,100.0
PCD-2021-0286,fe_cu_codoped_tio2,bisphenol_a,2.135,125.8,0.885,30.11,8.93,35.98,15,21.8,228.29,88.12
PCD-2022-0287,degussa_p25_tio2,phenol,3.256,69.35,1.531,16.31,7.29,5.59,45,27.0,94.11,40.61
PCD-2023-0288,pure_anatase_tio2,24_dichlorophenol,3.166,43.88,1.783,27.03,4.14,64.93,15,22.3,163.0,53.86
PCD-2018-0289,pure_rutile_tio2,ibuprofen,2.944,27.36,0.147,25.41,6.69,84.68,180,30.7,206.28,100.0
PCD-2019-0290,n_doped_tio2,malachite_green,2.632,69.73,3.814,33.36,7.85,45.8,15,20.0,364.91,91.43
PCD-2020-0291,c_doped_tio2,methylene_blue,2.576,63.87,1.075,5.0,5.14,12.59,30,21.7,319.85,78.17
PCD-2021-0292,s_doped_tio2,rhodamine_b,2.706,63.01,1.036,41.11,7.57,23.33,45,22.3,479.02,83.46
PCD-2022-0293,fe_doped_tio2,methyl_orange,2.534,93.4,0.936,31.9,9.03,10.63,60,29.6,327.33,87.52
PCD-2023-0294,cu_doped_tio2,ciprofloxacin,2.301,70.55,0.141,34.3,4.24,88.52,180,23.4,331.34,95.13
PCD-2018-0295,rutile_n_doped_tio2,tetracycline,2.595,29.97,1.565,25.65,4.96,49.41,45,24.1,444.43,99.11
PCD-2019-0296,rutile_fe_doped_tio2,bisphenol_a,2.415,30.54,0.562,33.47,10.93,63.49,30,22.5,228.29,84.27
PCD-2020-0297,n_fe_codoped_tio2,phenol,2.215,107.66,1.174,13.01,5.26,92.63,30,23.5,94.11,100.0
PCD-2021-0298,n_c_codoped_tio2,24_dichlorophenol,2.382,80.22,1.83,8.69,6.73,5.0,180,20.0,163.0,100.0
PCD-2022-0299,fe_cu_codoped_tio2,ibuprofen,2.221,126.81,1.171,12.37,7.08,67.08,120,24.0,206.28,98.21
PCD-2023-0300,degussa_p25_tio2,malachite_green,3.254,45.8,1.755,33.63,9.11,60.9,240,35.0,364.91,97.7
PCD-2018-0301,pure_anatase_tio2,methylene_blue,3.203,53.6,0.569,13.1,7.01,69.83,180,24.9,319.85,100.0
PCD-2019-0302,pure_rutile_tio2,rhodamine_b,2.95,14.71,2.162,18.46,7.08,24.9,15,27.7,479.02,43.76
PCD-2020-0303,n_doped_tio2,methyl_orange,2.657,66.65,1.024,16.69,5.78,22.87,240,20.9,327.33,95.13
PCD-2021-0304,c_doped_tio2,ciprofloxacin,2.518,67.29,1.749,21.56,6.01,64.24,180,24.4,331.34,100.0
PCD-2022-0305,s_doped_tio2,tetracycline,2.704,32.81,2.366,30.65,2.72,14.98,120,25.1,444.43,97.38
PCD-2023-0306,fe_doped_tio2,bisphenol_a,2.461,74.9,0.528,5.0,2.36,23.36,240,20.0,228.29,100.0
PCD-2018-0307,cu_doped_tio2,phenol,2.356,102.45,0.241,12.9,4.48,44.57,15,23.5,94.11,62.93
PCD-2019-0308,rutile_n_doped_tio2,24_dichlorophenol,2.549,19.92,0.349,13.39,9.4,30.25,240,30.1,163.0,100.0
PCD-2020-0309,rutile_fe_doped_tio2,ibuprofen,2.321,11.2,0.723,30.86,9.11,50.01,45,20.0,206.28,99.26
PCD-2021-0310,n_fe_codoped_tio2,malachite_green,2.269,109.58,2.264,39.31,7.71,48.88,15,22.6,364.91,92.47
PCD-2022-0311,n_c_codoped_tio2,methylene_blue,2.293,96.77,0.667,17.0,6.9,100.0,90,20.0,319.85,100.0
PCD-2023-0312,fe_cu_codoped_tio2,rhodamine_b,2.103,123.5,1.056,25.77,6.55,90.64,120,24.7,479.02,100.0
PCD-2018-0313,degussa_p25_tio2,methyl_orange,3.255,43.74,0.58,23.34,6.4,47.75,90,30.1,327.33,99.33
PCD-2019-0314,pure_anatase_tio2,ciprofloxacin,3.176,31.62,1.187,19.13,7.31,79.5,15,24.0,331.34,64.76
PCD-2020-0315,pure_rutile_tio2,tetracycline,2.985,28.46,4.797,5.0,8.24,34.12,240,20.0,444.43,100.0
PCD-2021-0316,n_doped_tio2,bisphenol_a,2.691,50.47,0.137,6.03,8.16,44.92,120,28.3,228.29,95.39
PCD-2022-0317,c_doped_tio2,phenol,2.49,69.93,1.406,22.69,10.03,84.91,90,27.1,94.11,100.0
PCD-2023-0318,s_doped_tio2,24_dichlorophenol,2.644,61.69,0.491,10.82,4.54,82.69,120,26.8,163.0,100.0
PCD-2018-0319,fe_doped_tio2,ibuprofen,2.477,94.42,0.949,21.91,8.88,24.19,30,27.0,206.28,91.47
PCD-2019-0320,cu_doped_tio2,malachite_green,2.317,98.69,0.264,5.0,9.07,57.13,120,25.1,364.91,100.0
PCD-2020-0321,rutile_n_doped_tio2,methylene_blue,2.555,40.19,1.48,31.08,8.19,73.17,180,20.0,319.85,100.0
PCD-2021-0322,rutile_fe_doped_tio2,rhodamine_b,2.436,31.6,1.499,5.0,3.47,42.65,45,20.0,479.02,100.0
PCD-2022-0323,n_fe_codoped_tio2,methyl_orange,2.252,115.37,1.304,13.03,8.16,56.51,60,22.3,327.33,98.77
PCD-2023-0324,n_c_codoped_tio2,ciprofloxacin,2.275,78.0,0.529,17.41,8.96,58.9,240,28.4,331.34,99.09
PCD-2018-0325,fe_cu_codoped_tio2,tetracycline,2.134,127.32,1.95,15.31,8.29,32.32,240,25.6,444.43,100.0
PCD-2019-0326,degussa_p25_tio2,bisphenol_a,3.141,39.24,2.699,8.4,6.62,49.08,60,20.0,228.29,100.0
PCD-2020-0327,pure_anatase_tio2,phenol,3.297,51.3,0.132,23.87,9.18,100.0,90,30.1,94.11,82.22
PCD-2021-0328,pure_rutile_tio2,24_dichlorophenol,2.926,16.94,1.156,13.97,5.32,60.22,15,27.5,163.0,55.87
PCD-2022-0329,n_doped_tio2,ibuprofen,2.668,44.0,0.29,31.18,8.1,67.3,45,33.0,206.28,92.64
PCD-2023-0330,c_doped_tio2,malachite_green,2.482,64.81,0.927,21.53,10.22,58.87,180,20.0,364.91,100.0
PCD-2018-0331,s_doped_tio2,methylene_blue,2.68,73.2,0.982,16.65,7.68,88.85,60,29.3,319.85,100.0
PCD-2019-0332,fe_doped_tio2,rhodamine_b,2.427,82.43,2.555,27.18,7.43,74.23,15,26.9,479.02,98.2
PCD-2020-0333,cu_doped_tio2,methyl_orange,2.438,100.73,0.451,11.93,6.7,73.29,240,26.3,327.33,100.0
PCD-2021-0334,rutile_n_doped_tio2,ciprofloxacin,2.682,29.42,1.02,20.01,9.43,37.41,240,26.4,331.34,100.0
PCD-2022-0335,rutile_fe_doped_tio2,tetracycline,2.46,28.8,0.152,14.84,6.61,44.85,30,21.3,444.43,66.58
PCD-2023-0336,n_fe_codoped_tio2,bisphenol_a,2.185,103.22,2.383,19.62,6.78,30.72,60,24.7,228.29,100.0
PCD-2018-0337,n_c_codoped_tio2,phenol,2.344,88.5,0.416,9.85,5.48,40.46,15,22.1,94.11,72.17
PCD-2019-0338,fe_cu_codoped_tio2,24_dichlorophenol,2.1,121.99,0.164,22.87,8.7,87.51,120,26.2,163.0,96.81
PCD-2020-0339,degussa_p25_tio2,ibuprofen,3.142,50.18,0.883,19.05,3.45,47.99,180,20.8,206.28,100.0
PCD-2021-0340,pure_anatase_tio2,malachite_green,3.193,36.36,0.269,6.17,8.26,5.0,60,27.4,364.91,24.2
PCD-2022-0341,pure_rutile_tio2,methylene_blue,3.02,10.0,1.567,8.16,6.0,92.57,180,24.6,319.85,100.0
PCD-2023-0342,n_doped_tio2,rhodamine_b,2.679,56.99,1.386,23.31,7.75,32.28,45,22.5,479.02,97.68
PCD-2018-0343,c_doped_tio2,methyl_orange,2.513,57.45,0.793,42.19,6.68,57.39,15,20.0,327.33,72.13
PCD-2019-0344,s_doped_tio2,ciprofloxacin,2.748,57.33,0.64,17.8,8.69,45.09,240,20.0,331.34,100.0
PCD-2020-0345,fe_doped_tio2,tetracycline,2.511,74.87,0.466,21.16,5.31,60.04,120,27.3,444.43,100.0
PCD-2021-0346,cu_doped_tio2,bisphenol_a,2.267,110.3,1.214,26.24,9.7,91.54,15,31.8,228.29,99.96
PCD-2022-0347,rutile_n_doped_tio2,phenol,2.593,13.16,0.446,19.69,5.18,26.59,30,21.7,94.11,53.69
PCD-2023-0348,rutile_fe_doped_tio2,24_dichlorophenol,2.468,38.65,1.243,35.19,10.77,52.99,90,22.4,163.0,100.0
PCD-2018-0349,n_fe_codoped_tio2,ibuprofen,2.181,113.83,0.125,14.01,4.78,100.0,15,26.1,206.28,88.97
PCD-2019-0350,n_c_codoped_tio2,malachite_green,2.291,98.05,0.361,10.9,5.45,67.33,240,26.2,364.91,97.32
PCD-2020-0351,fe_cu_codoped_tio2,methylene_blue,2.109,114.54,0.482,15.5,9.51,36.62,15,26.8,319.85,82.41
PCD-2021-0352,degussa_p25_tio2,rhodamine_b,3.129,52.02,2.198,22.15,4.13,23.57,90,25.5,479.02,99.38
PCD-2022-0353,pure_anatase_tio2,methyl_orange,3.194,52.45,0.439,25.05,7.39,67.38,45,20.0,327.33,82.15
PCD-2023-0354,pure_rutile_tio2,ciprofloxacin,2.954,28.83,0.665,36.6,8.35,43.87,60,30.0,331.34,87.7
PCD-2018-0355,n_doped_tio2,tetracycline,2.596,52.21,0.166,5.0,6.22,74.91,180,22.7,444.43,95.83
PCD-2019-0356,c_doped_tio2,bisphenol_a,2.489,65.03,1.091,13.59,5.24,18.49,90,25.4,228.29,90.5
PCD-2020-0357,s_doped_tio2,phenol,2.691,38.7,0.968,28.25,8.63,71.63,90,25.8,94.11,99.38
PCD-2021-0358,fe_doped_tio2,24_dichlorophenol,2.524,76.05,1.11,25.75,6.23,73.85,60,23.6,163.0,100.0
PCD-2022-0359,cu_doped_tio2,ibuprofen,2.295,94.24,0.269,14.71,4.89,80.58,120,23.7,206.28,99.83
PCD-2023-0360,rutile_n_doped_tio2,malachite_green,2.535,28.48,2.495,12.68,7.83,33.9,15,29.6,364.91,83.26
PCD-2018-0361,rutile_fe_doped_tio2,methylene_blue,2.463,21.54,0.96,39.09,8.62,44.58,15,29.3,319.85,61.37
PCD-2019-0362,n_fe_codoped_tio2,rhodamine_b,2.164,102.68,0.804,17.52,7.64,44.42,30,27.1,479.02,100.0
PCD-2020-0363,n_c_codoped_tio2,methyl_orange,2.213,100.82,2.329,5.0,5.28,39.66,240,34.4,327.33,100.0
PCD-2021-0364,fe_cu_codoped_tio2,ciprofloxacin,2.16,124.16,1.924,12.02,6.49,53.67,45,20.0,331.34,95.81
PCD-2022-0365,degussa_p25_tio2,tetracycline,3.171,60.38,0.288,19.32,5.3,80.85,120,24.7,444.43,98.15
PCD-2023-0366,pure_anatase_tio2,bisphenol_a,3.217,59.94,1.317,24.36,5.26,33.51,60,26.7,228.29,94.35
PCD-2018-0367,pure_rutile_tio2,phenol,2.999,10.0,0.519,24.54,5.04,51.47,120,27.2,94.11,92.8
PCD-2019-0368,n_doped_tio2,24_dichlorophenol,2.677,65.76,1.288,5.0,7.15,45.51,45,28.6,163.0,93.68
PCD-2020-0369,c_doped_tio2,ibuprofen,2.558,66.64,1.448,5.0,9.76,38.37,240,23.6,206.28,100.0
PCD-2021-0370,s_doped_tio2,malachite_green,2.782,37.39,0.296,23.0,7.93,6.14,240,20.0,364.91,80.87
PCD-2022-0371,fe_doped_tio2,methylene_blue,2.458,90.18,0.311,37.55,7.04,55.63,15,28.5,319.85,65.67
PCD-2023-0372,cu_doped_tio2,rhodamine_b,2.337,82.81,1.315,19.11,4.67,5.0,120,26.2,479.02,94.41
PCD-2018-0373,rutile_n_doped_tio2,methyl_orange,2.66,26.4,0.552,27.32,6.57,66.37,240,22.6,327.33,94.83
PCD-2019-0374,rutile_fe_doped_tio2,ciprofloxacin,2.418,28.56,1.826,22.03,9.5,55.66,45,32.5,331.34,97.6
PCD-2020-0375,n_fe_codoped_tio2,tetracycline,2.265,98.21,1.41,18.7,8.16,32.33,45,29.3,444.43,99.35
PCD-2021-0376,n_c_codoped_tio2,bisphenol_a,2.232,77.31,0.277,13.75,6.79,5.0,180,20.0,228.29,94.66
PCD-2022-0377,fe_cu_codoped_tio2,phenol,2.135,107.91,1.233,11.6,6.55,21.68,45,26.7,94.11,100.0
PCD-2023-0378,degussa_p25_tio2,24_dichlorophenol,3.174,48.81,0.346,22.74,5.05,25.91,15,22.0,163.0,19.69
PCD-2018-0379,pure_anatase_tio2,ibuprofen,3.234,39.8,0.499,20.73,6.18,47.77,60,24.8,206.28,85.73
PCD-2019-0380,pure_rutile_tio2,malachite_green,2.902,39.29,1.214,33.0,7.08,22.37,180,24.5,364.91,97.97
PCD-2020-0381,n_doped_tio2,methylene_blue,2.672,69.7,0.303,26.36,5.9,5.0,60,21.9,319.85,34.67
PCD-2021-0382,c_doped_tio2,rhodamine_b,2.451,82.13,1.736,7.48,8.61,72.9,180,28.4,479.02,92.89
PCD-2022-0383,s_doped_tio2,methyl_orange,2.713,43.14,1.41,13.93,7.91,38.52,60,21.5,327.33,96.5
PCD-2023-0384,fe_doped_tio2,ciprofloxacin,2.438,83.86,0.803,16.12,9.16,35.53,45,20.0,331.34,100.0
PCD-2018-0385,cu_doped_tio2,tetracycline,2.3,77.48,0.524,27.61,4.71,62.91,60,29.9,444.43,100.0
PCD-2019-0386,rutile_n_doped_tio2,bisphenol_a,2.704,27.46,0.2,5.0,6.07,24.13,45,30.3,228.29,65.41
PCD-2020-0387,rutile_fe_doped_tio2,phenol,2.386,11.74,0.873,5.0,3.24,67.82,240,20.0,94.11,99.64
PCD-2021-0388,n_fe_codoped_tio2,24_dichlorophenol,2.202,93.3,0.211,14.68,7.43,28.9,180,20.2,163.0,97.97
PCD-2022-0389,n_c_codoped_tio2,ibuprofen,2.261,103.3,1.705,15.47,8.79,72.54,30,33.4,206.28,100.0
PCD-2023-0390,fe_cu_codoped_tio2,malachite_green,2.147,131.6,0.945,7.31,8.52,18.5,90,30.4,364.91,100.0
PCD-2018-0391,degussa_p25_tio2,methylene_blue,3.186,28.85,2.214,15.82,2.95,23.23,60,34.6,319.85,78.86
PCD-2019-0392,pure_anatase_tio2,rhodamine_b,3.319,56.67,0.506,25.1,7.77,82.04,60,25.1,479.02,100.0
PCD-2020-0393,pure_rutile_tio2,methyl_orange,2.917,25.59,2.094,9.32,6.44,25.06,120,30.2,327.33,95.11
PCD-2021-0394,n_doped_tio2,ciprofloxacin,2.694,68.74,0.796,31.02,8.68,29.77,240,28.3,331.34,96.59
PCD-2022-0395,c_doped_tio2,tetracycline,2.561,87.35,0.113,10.95,9.35,66.64,180,34.7,444.43,100.0
PCD-2023-0396,s_doped_tio2,bisphenol_a,2.688,54.26,0.653,27.97,8.37,42.13,180,29.4,228.29,100.0
PCD-2018-0397,fe_doped_tio2,phenol,2.404,93.55,0.335,20.25,6.4,65.21,120,38.8,94.11,98.67
PCD-2019-0398,cu_doped_tio2,24_dichlorophenol,2.41,79.6,0.623,6.54,5.41,45.4,240,22.2,163.0,100.0
PCD-2020-0399,rutile_n_doped_tio2,ibuprofen,2.559,10.0,0.993,8.47,9.27,58.46,45,20.3,206.28,94.32
PCD-2021-0400,rutile_fe_doped_tio2,malachite_green,2.417,14.22,1.404,24.71,7.24,45.72,90,35.4,364.91,96.93
PCD-2022-0401,n_fe_codoped_tio2,methylene_blue,2.182,114.16,0.207,45.55,5.72,28.67,45,25.4,319.85,83.41
PCD-2023-0402,n_c_codoped_tio2,rhodamine_b,2.298,94.26,2.257,18.36,3.49,54.47,120,20.8,479.02,96.76
PCD-2018-0403,fe_cu_codoped_tio2,methyl_orange,2.192,122.39,1.428,35.9,8.15,84.99,90,20.0,327.33,97.9
PCD-2019-0404,degussa_p25_tio2,ciprofloxacin,3.258,50.47,1.155,26.97,5.97,71.78,60,20.2,331.34,100.0
PCD-2020-0405,pure_anatase_tio2,tetracycline,3.216,60.91,0.525,22.18,5.04,47.8,120,26.7,444.43,95.05
PCD-2021-0406,pure_rutile_tio2,bisphenol_a,2.997,10.0,0.197,19.98,7.62,49.24,120,32.9,228.29,83.87
PCD-2022-0407,n_doped_tio2,phenol,2.75,57.21,0.151,24.0,7.26,48.06,180,20.0,94.11,96.73
PCD-2023-0408,c_doped_tio2,24_dichlorophenol,2.503,65.98,0.242,27.3,6.6,51.92,60,35.8,163.0,100.0
PCD-2018-0409,s_doped_tio2,ibuprofen,2.711,65.27,0.439,21.85,9.78,53.1,120,21.0,206.28,99.01
PCD-2019-0410,fe_doped_tio2,malachite_green,2.436,81.57,1.732,30.19,9.75,11.43,180,31.0,364.91,100.0
PCD-2020-0411,cu_doped_tio2,methylene_blue,2.348,76.69,0.896,24.91,8.14,54.89,15,24.5,319.85,85.16
PCD-2021-0412,rutile_n_doped_tio2,rhodamine_b,2.519,37.69,0.607,24.35,7.8,37.77,120,21.6,479.02,98.71
PCD-2022-0413,rutile_fe_doped_tio2,methyl_orange,2.5,21.68,0.484,21.32,5.82,44.14,90,29.0,327.33,98.3
PCD-2023-0414,n_fe_codoped_tio2,ciprofloxacin,2.132,103.6,0.66,11.83,6.89,68.34,180,20.0,331.34,100.0
PCD-2018-0415,n_c_codoped_tio2,tetracycline,2.303,100.77,0.843,25.74,4.45,17.79,240,26.5,444.43,100.0
PCD-2019-0416,fe_cu_codoped_tio2,bisphenol_a,2.178,127.91,0.726,14.92,9.87,13.93,45,23.1,228.29,91.8
